credit_card_name,reward_type,speciality,points_accumulation_rate,primary_usage_category,bank_name,annual_charges_in_inr,product_name,product_type,annual_fee,description,tags,combined_text
RBL Business Ultra 2,fuel_rewards,milestone_rewards,3.41,fuel,RBL Bank,2616,RBL Business Ultra 2,credit_card,2616.0,RBL Business Ultra 2 fuel_rewards milestone_rewards fuel RBL Bank 3.41 annual fee 2616,business fuel premium_fee travel,RBL Business Ultra 2 fuel_rewards milestone_rewards fuel RBL Bank 3.41 annual fee 2616 business fuel premium_fee travel fuel_rewards milestone_rewards fuel RBL Bank
Yes Business Plus,shopping_rewards,online_cashback,3.9,groceries,Yes Bank,4860,Yes Business Plus,credit_card,4860.0,Yes Business Plus shopping_rewards online_cashback groceries Yes Bank 3.9 annual fee 4860,business cashback premium_fee shopping,Yes Business Plus shopping_rewards online_cashback groceries Yes Bank 3.9 annual fee 4860 business cashback premium_fee shopping shopping_rewards online_cashback groceries Yes Bank
Yes Reserve 2,fuel_rewards,accelerated_rewards,4.22,fuel,Yes Bank,7301,Yes Reserve 2,credit_card,7301.0,Yes Reserve 2 fuel_rewards accelerated_rewards fuel Yes Bank 4.22 annual fee 7301,fuel premium_fee,Yes Reserve 2 fuel_rewards accelerated_rewards fuel Yes Bank 4.22 annual fee 7301 fuel premium_fee fuel_rewards accelerated_rewards fuel Yes Bank
Canara Premium 3,cashback,accelerated_rewards,0.71,online_spends,Canara Bank,2051,Canara Premium 3,credit_card,2051.0,Canara Premium 3 cashback accelerated_rewards online_spends Canara Bank 0.71 annual fee 2051,cashback premium premium_fee shopping,Canara Premium 3 cashback accelerated_rewards online_spends Canara Bank 0.71 annual fee 2051 cashback premium premium_fee shopping cashback accelerated_rewards online_spends Canara Bank
Kotak Business 1,travel_points,golf_membership,4.26,business,Kotak Mahindra,1228,Kotak Business 1,credit_card,1228.0,Kotak Business 1 travel_points golf_membership business Kotak Mahindra 4.26 annual fee 1228,business points premium_fee travel,Kotak Business 1 travel_points golf_membership business Kotak Mahindra 4.26 annual fee 1228 business points premium_fee travel travel_points golf_membership business Kotak Mahindra
HDFC EZY Dining 2,premium_points,insurance_coverage,2.78,online_spends,HDFC Bank,8939,HDFC EZY Dining 2,credit_card,8939.0,HDFC EZY Dining 2 premium_points insurance_coverage online_spends HDFC Bank 2.78 annual fee 8939,discounts points premium premium_fee shopping,HDFC EZY Dining 2 premium_points insurance_coverage online_spends HDFC Bank 2.78 annual fee 8939 discounts points premium premium_fee shopping premium_points insurance_coverage online_spends HDFC Bank
SBI Pulse,fuel_rewards,accelerated_rewards,3.48,groceries,SBI,7046,SBI Pulse,credit_card,7046.0,SBI Pulse fuel_rewards accelerated_rewards groceries SBI 3.48 annual fee 7046,fuel premium_fee,SBI Pulse fuel_rewards accelerated_rewards groceries SBI 3.48 annual fee 7046 fuel premium_fee fuel_rewards accelerated_rewards groceries SBI
Airtel Rewards 1,shopping_rewards,milestone_rewards,1.79,online_spends,Airtel Payments Bank,4915,Airtel Rewards 1,credit_card,4915.0,Airtel Rewards 1 shopping_rewards milestone_rewards online_spends Airtel Payments Bank 1.79 annual fee 4915,premium_fee shopping travel,Airtel Rewards 1 shopping_rewards milestone_rewards online_spends Airtel Payments Bank 1.79 annual fee 4915 premium_fee shopping travel shopping_rewards milestone_rewards online_spends Airtel Payments Bank
Yes Smart 1,fuel_rewards,milestone_rewards,3.81,shopping,Yes Bank,5049,Yes Smart 1,credit_card,5049.0,Yes Smart 1 fuel_rewards milestone_rewards shopping Yes Bank 3.81 annual fee 5049,fuel premium_fee shopping travel,Yes Smart 1 fuel_rewards milestone_rewards shopping Yes Bank 3.81 annual fee 5049 fuel premium_fee shopping travel fuel_rewards milestone_rewards shopping Yes Bank
IDFC FIRST Business 1,shopping_rewards,grocery_cashback,1.95,travel,IDFC First Bank,3766,IDFC FIRST Business 1,credit_card,3766.0,IDFC FIRST Business 1 shopping_rewards grocery_cashback travel IDFC First Bank 1.95 annual fee 3766,business cashback premium_fee shopping travel,IDFC FIRST Business 1 shopping_rewards grocery_cashback travel IDFC First Bank 1.95 annual fee 3766 business cashback premium_fee shopping travel shopping_rewards grocery_cashback travel IDFC First Bank
SBI BPCL 2,travel_points,airport_lounge_access,3.7,groceries,SBI,9522,SBI BPCL 2,credit_card,9522.0,SBI BPCL 2 travel_points airport_lounge_access groceries SBI 3.7 annual fee 9522,points premium premium_fee travel,SBI BPCL 2 travel_points airport_lounge_access groceries SBI 3.7 annual fee 9522 points premium premium_fee travel travel_points airport_lounge_access groceries SBI
Federal Prestige 2,travel_points,online_cashback,3.99,luxury,Federal Bank,6516,Federal Prestige 2,credit_card,6516.0,Federal Prestige 2 travel_points online_cashback luxury Federal Bank 3.99 annual fee 6516,cashback points premium_fee shopping travel,Federal Prestige 2 travel_points online_cashback luxury Federal Bank 3.99 annual fee 6516 cashback points premium_fee shopping travel travel_points online_cashback luxury Federal Bank
HDFC Millennia 1,dining_rewards,dining_discounts,2.69,travel,HDFC Bank,5963,HDFC Millennia 1,credit_card,5963.0,HDFC Millennia 1 dining_rewards dining_discounts travel HDFC Bank 2.69 annual fee 5963,discounts premium_fee travel,HDFC Millennia 1 dining_rewards dining_discounts travel HDFC Bank 2.69 annual fee 5963 discounts premium_fee travel dining_rewards dining_discounts travel HDFC Bank
SBI Business 1,premium_points,international_travel,5.59,business,SBI,6590,SBI Business 1,credit_card,6590.0,SBI Business 1 premium_points international_travel business SBI 5.59 annual fee 6590,business points premium premium_fee travel,SBI Business 1 premium_points international_travel business SBI 5.59 annual fee 6590 business points premium premium_fee travel premium_points international_travel business SBI
Airtel Gold,shopping_rewards,fuel_surcharge_waiver,3.11,fuel,Airtel Payments Bank,2475,Airtel Gold,credit_card,2475.0,Airtel Gold shopping_rewards fuel_surcharge_waiver fuel Airtel Payments Bank 3.11 annual fee 2475,fuel premium premium_fee shopping,Airtel Gold shopping_rewards fuel_surcharge_waiver fuel Airtel Payments Bank 3.11 annual fee 2475 fuel premium premium_fee shopping shopping_rewards fuel_surcharge_waiver fuel Airtel Payments Bank
